Shimaore / Maore,Français
Namustahamiliane wanyu na wanyu .,Supportez-vous les uns les autres .
Watruwaume kula mutru navhendze mutrumushe wahe wala mwasuke wahali na wao.,"Maris, aimez votre femme et ne vous aigrissez pas contre elle."
Wanyu wana namutuin wadzade wanyu hari mwa piya mana iyo umujivhia Rabi.,"Enfants, obéissez en tout à  vos parents, car cela est agréable au Seigneur."
Wanyu vhanyu mababa musutukize wana wanyu pare wasuje wapuha bari.,"Pères, n'irritez pas vos enfants, de peur qu'ils ne se découragent."
Yotsi mufanyao namuifanye ha piya umo wanyu mauri musumufanyiayo Rabi badi tsi wanadamu,"Tout ce que vous faites, faites-le de tout votre coeur, comme pour le Seigneur et non pour des hommes,"
Mana monyewe udhulumu atsolivhwa ha udhuluma wahe; kavhusi utsahulivu.,"Quant à  celui qui agit de manière injuste, il recevra le salaire de son injustice, et il n'y a pas de favoritisme."
Wanyu warumisa namurendreye warumwa wanyu ha namuna yaondzoha tsena ya haki ha ujua amba wanyu wajau muna Mola pevhoni.,"Maîtres, accordez à  vos esclaves ce qui est juste et équitable, sachant que vous aussi, vous avez un Maître dans le ciel."
Namudzivhe iwanyu yanyu ha yamamilio; namushese ha uendrelea nayo vhumoja na himida.,"Persévérez dans la prière, veillez-y avec reconnaissance."
Ha daima marongozi yanyu nayake yendza neema tsena yendza ladha ile mujuwe namuna yalazimu mudjibu kula mutru.,"Que votre parole soit toujours pleine de grâce, assaisonnée de sel, afin que vous sachiez comment vous devez répondre à  chacun."
Wananyatru kweli amba wanyu-wanyu musujua amba mujilio watru hanyu kawaka bila mavuna.,"Vous savez vous-mêmes, frères et soeurs, que notre arrivée chez vous n'a pas été sans fruit."
Mana mujudzio watru kawaketsi hari mwa kosa bila nia kayarahara wala udjandja.,"En effet, notre prédication n'a pas dépendu de l'erreur, de l'impureté ou de la fraude."
Kweli amba mauri de inamuna mujuao karaparokana nia ya umujivhidzani ha marongozi ya sifa wala nia yadzama ya udziparia.,"De fait, vous le savez, nous n'avons jamais eu recours à  un langage flatteur, comme vous le savez, ni à  un prétexte de cupidité."
Karakotsaha sifa zalawa ha wanadamu tsi ha wanyu wala tsi ha wangina.,"Nous n'avons pas cherché la gloire qui vient des hommes, ni auprès de vous, ni auprès des autres."
Rimutriani bari rimutrulidzani,"Nous vous avons encouragés, réconfortés."
I mana tsena ata wasi karisuzia uhimidia Mungu,C'est pourquoi nous remercions sans cesse Dieu .
Wakati raka vhumoja na wanyu rakomuambiani na kabula amba ritsoparwa na matreso. Iyo de yahidjiri na wanyu musuijua.,"Lorsque nous étions encore auprès de vous, nous vous annoncions d'avance que nous allions être persécutés, comme cela s'est produit et comme vous le savez."
Ha trisidzo amba u muzainifu aja amuzainini ata yaka amba hazi yatru kaina mana.,J'avais peur en effet que le tentateur ne vous ait tentés et que notre travail n'ait été inutile.
Ha izo wananyatru hari-hari na piya mashaka na taambu zatru ripara mutrilio-bari wamuhusuni ha sibabu ya uaminifu wanyu.,"C'est pourquoi, frères et soeurs, votre foi nous a réconfortés, malgré toutes nos difficultés et nos détresses."
Na avhasa risueshi ivho mwasika hodari hari mwa uvhumoja wanyu na Rabi.,"Maintenant, en effet, nous vivons, puisque vous tenez ferme dans le Seigneur."
Uku na mutsana risufanya mamilio vhumoja na djitihadi pare rije rimuoneni,"Nuit et jour, nous prions avec une ferveur excessive d'avoir le privilège de vous revoir ."
Rabi naengedze na uzidisha uvhendza mulionawo wanyu na wanyu tsena na piya wasalia,Que le Seigneur augmente de plus en plus l'amour que vous avez les uns pour les autres et pour tous.
Nahodarishe roho zanyu ile zike bila tuhuma,Il affermira ainsi votre coeur pour qu'il soit irréprochable.
Mupara ulawa na wasi namuna jeje ya udzivhinga na umujivhia Mungu na iyo de itrongo muifanyao. Avhasavhanu basi risumumiani na umutriani bari  muendreleye raha ha uzidisha.,"Puisque vous avez appris de nous comment vous devez vous conduire pour plaire à  Dieu, et c'est ce que vous faites, nous vous demandons et nous vous encourageons à  progresser encore."
Kweli amba musujua maosio ramuvhaniwo .,Vous savez en effet quelles instructions nous vous avons données .
Kula moja hari mwanyu najuwe asike umwili wahe,Que chacun de vous sache prendre possession de son propre corps
Bila udzieleha na tabia ya shahawa,Sans se livrer à  la passion du désir .
Hari mwa itrongo iyo vhusuke mutru akosa mwananya wa shi uaminifu wala amurendra mbi mana Mola udivhia piya trongo izo mauri de inamuna madza ramuambianiyo.,"Que personne, dans ce domaine, ne commette de tort à  son frère ou ne profite de lui, car le Seigneur fait justice de toutes ces choses, comme nous vous l'avons déjà dit ."
Mana Mungu karihira raeshi hari mwa utshafi badi hari mwa utwaharifu.,"En effet, Dieu ne nous a pas appelés à  l'impureté, mais à  la sainteté."
Ha izo mutru aharao maosio yao kasuhara mwanadamu badi Mungu,"Par conséquent, celui qui rejette ces instructions ne rejette pas un homme, mais Dieu."
Hari mwa yahusu uvhendzana wa shi unanya tsi paka muangishiwe ulawa na shitru iyo,"Quant à l'amour fraternel, vous n'avez pas besoin qu'on vous écrive à  ce sujet."
Mana madza musuifanya mbeli za piya uwananya wa shi uaminifu . Na wasi risumutriani bari wananyatru amba muendreleye zaidi.,"C'est d'ailleurs ce que vous faites envers tous les frères et soeurs . Cependant, fères et soeurs, nous vous encourageons à  progresser encore,"
Namufanye djitihadi ya ueshi ha utrulivu na mudzishahilise na trongo zanyu wenyewe tsena mufanye hazi ha yimihono yanyu mauri de inamuna madza ramusaribiani,"À vous faire une affaire d'honneur de vivre en paix, d'accomplir les tâches qui vous incombent et de travailler de vos mains, comme nous vous l'avons ordonné."
Ile mudzivhinge ha namuna yastahiki mbeli za watru wa shi vhondze wala udzidjukumisa na mutru atsokao yotsi.,"Ainsi, votre conduite sera honorable aux yeux de ceux qui sont à  l'extérieur et vous ne serez dépendants de personne."
Wananya wa shi uaminifu wasi karisutsaha yaka amba kamusujua zahusu wao wandra mbeli za Mungu ile mwasusikitihe mauri de wasalia walio amba kawasina tama.,"Nous ne voulons pas, frères et soeurs, que vous soyez dans l'ignorance au sujet de ceux qui sont morts, afin que vous ne soyez pas tristes comme les autres qui n'ont pas d'espérance."
Basi vhavho namutriane bari wanyu na wanyu.,Encouragez-vous donc les uns les autres .
Basi wananyatru hari mwa isa na uwakati trongo zizo zitsohidjirio tsi paka muangishiwe.,"Quant aux temps et aux moments, frères et soeurs, vous n'avez pas besoin qu'on vous écrive à  ce sujet."
Mana wanyu-wanyu musujua ha uzuri amba isuku ya Rabi itsoja mauri mwidzi ukwari.,Vous savez bien vous-mêmes que le jour du Seigneur viendra .
Mawri mwidzi ukwari,Comme un voleur dans la nuit
Wakati watru watsorongoao amba: «Nafasi na hifadhwi za vhavho!»,Quand les hommes diront: «La paix et la sécurité sont là!»
Mauri shikodza ha mutrumama mwendza hamili,"Comme les douleurs sur la femme enceinte,"
basi wakati uwo kamwe uangamifu utsowajilia bila udzilindrilia,Une ruine soudaine fondra sur eux
Amwesa kawatsoshindra watrala.,Et ils n'y échapperont en aucun cas.
Badi wanyu wananya wa shi uaminifu,"Mais vous, frères et sœurs dans la foi"
Kamusi hari mwa shidza,Vous n'êtes pas dans les ténèbres
Amba isuku iyo imuhilibuni mauri mwidzi.,Pour que ce jour vous surprenne comme un voleur.
Wasi karisi wa uku wala wa shidza.,Nous n'appartenons ni à  la nuit ni aux ténèbres.
Basi ha izo rasulale mauri wasalia badi narishese tsena rike wazima.,"Ne dormons donc pas comme les autres, mais veillons et soyons sobres."
Mana wao walalao ulala uku na wao wadzilezao ulewa uku.,"En effet, ceux qui dorment dorment la nuit, et ceux qui s'enivrent s'enivrent la nuit."
Badi wasi rilio wa mutsana narike hashiri. Naripindre uaminifu na uvhendza zirihifadhwi mauri ngwezi ya shuma na itama ya uhuyifu mauri kofia ya shuma.,"Mais nous qui appartenons au jour, soyons sobres, revêtus de la cuirasse de la foi et de l'amour, et du casque de l'espérance du salut."
Basi ha izo namutriane bari na uhodarishana mauri de inamuna madza muifanyao.,"C'est pourquoi, encouragez-vous les uns les autres et édifiez-vous mutuellement, comme vous le faites déjà ."
Basi wananya wa shi uaminifu risumumiani mustehi wao wadzirumao mengoni mwanyu,"Nous vous demandons, frères et soeurs, d'avoir de la reconnaissance pour ceux qui travaillent parmi vous."
Namuwavhe hishima ha kusudi na mahaba ha sibabu ya urumishi wawo. Namukane amani wanyu na wanyu.,Estimez-les très affectueusement à  cause de leur travail. Soyez en paix entre vous.
Vhavho wananya wa shi uaminifu risumutriani bari mufahamishe wendza musadjadja,"Nous vous y encourageons, frères et soeurs: avertissez ceux qui vivent dans le désordre,"
Muhodarishe wao wapuha bari,"Réconfortez ceux qui sont découragés,"
Musaidiye walemevu,Soutenez les faibles
Mukane subira mbeli za watru piya.,Faites preuve de patience envers tous.
Namutahadhari amba vhusuke mutru adivha mbovu ha mbovu badi ha daima namuendreleye hari mwa zindjema rangu wanyu na wanyu ata ha piya wanadamu.,"Veillez à  ce que personne ne rende le mal pour le mal, mais recherchez toujours le bien, soit entre vous, soit envers tous."
Ha daima namufurahi,Soyez toujours joyeux.
Mufanye mamilio bila uzia,Priez sans cesse.
Hali yotsi mutsokao namushukuriye Rabi,Remerciez Dieu en toute circonstance.
Namutrulidze zi roho zanyu,Tranquilisez vos cœurs
Mwasudharau marongozi ya shi mutrume yashukidziwa,Ne méprisez pas les prophéties.
Namutwaliye piya zitrongo musike zilio ndjema.,Examinez tout et retenez ce qui est bon.
Namudzibalidze na kula aina ya mbovu.,Abstenez-vous de toute forme de mal.
Basi Mungu Monyewe utrulivu waye-waye namutwaharisheni ha ukamilifu piya nafusi yanyu,Que le Dieu de la paix vous conduise lui-même à  une sainteté totale
Monyewe umuhirani waye muaminifu na waye de atsoifanyao.,Celui qui vous appelle est fidèle et c'est lui qui le fera.
Wananyatru namurimiliye wajau wasi.,"Frères et soeurs, priez également pour nous."
Namusalimu piya uwananya wa shi uaminifu,Saluez tous les frères et soeurs .
Urehema na amani zalawa ha Mungu nazimuendreleyeni.,Que la grâce et la paix vous soient données de la part de Dieu !
Ha dahari irilazimu rimuhimidiye Mungu wananya wa shi uaminifu ha sibabu ya wanyu.,"Nous devons toujours remercier Dieu à votre sujet, frères et sœurs dans la foi."
Iyo haki amba riifanye mana uaminifu wanyu usuhua ha kusudi na uvhendza wa kula moja ha uwanyawe usendra na uengedzeha.,"C'est juste, car votre foi fait de grands progrès et l'amour que vous avez tous les uns pour les autres augmente."
Ha izo risudzibua ha sibabu ya wanyu ha ustahamilifu wanyu na uaminifu wanyu hari mwa piya matreso yanyu na maondo muyavhirao.,Aussi sommes-nous fiers de vousà  cause de votre persévérance et de votre foi au milieu de toutes les persécutions et des difficultés que vous supportez.
Uwo udhibitifu amba hukuma ya Mungu iyo ya haki,C'est une preuve du juste jugement de Dieu.
Atsoondesha wao wamuondaoni,Il rendra la souffrance à  ceux qui vous font souffrir
Iyo de imana dahari rimufanyiaoni mamilio bila ulemewa,C'est aussi pour cela que nous prions sans cesse pour vous.
Musudzilishe mwababanyisiwa ha upesi zifikira .,Ne vous laisserpas facilement ébranler dans votre bon sens .
Vhusuke ata mutru amudanganyani ha namuna itsokao yotsi mana ilazimu iKufuru ije rabuzi na u movu avhenuhe,"Que personne ne vous trompe d'aucune manière, car il faut que l'apostasie arrive d'abord et que se révèle l'homme de péché"
Hali kamusufahamu amba nakomuambiani trongo zini wakati raha naka hanyu?,Ne vous rappelez-vous pas que je vous disais cela lorsque j'étais encore chez vous?
Na wanyu musujua iyo imuziao avhasa ile avhenuhe wakati wahe wahetsiwa.,"Et maintenant vous savez ce qui le retient, afin qu'il ne se révèle qu'en son temps."
Mana iandjabu ya uovu madza isurendreha,"En effet, le mystère de l'injustice est déjà  en action."
Vhumoja na kula namuna ya udangamanyifu movu wa wao wandroangamiao. Watsoangamia mana kawakubali iuvhendza ya ukweli pare wahuyiwe.,Et avec toutes les séductions de l'injustice pour ceux qui périssent parce qu'ils n'ont pas accueilli l'amour de la vérité pour être sauvés.
Ile piya wao kawaamini ukweli badi wajivhiwa na uovu wahukumulwe.,Afin que tous ceux qui n'ont pas cru à  la vérité mais qui ont pris plaisir à l'injustice soient condamnés.
Basi ha izo wananya wa shi uaminifu namuke watru wasika musike hodari yimisomo ramuvhaniyo neka ha hanyo au ha barua.,"Ainsi donc, frères et soeurs, tenez ferme et retenez les enseignements que vous avez reçus, soit par la parole, soit par notre lettre."
Nawatriye bari ziroho zanyu na umuhodarishani hari mwa kula shitrendro ndjema na urongozi mwema.,Qu'ils vous encouragent et fortifient votre coeur pour toute bonne oeuvre et toute bonne parole!
Namurifanyiye mamilio ile urongozi wamuhusu Rabi wendre mbeli amwesa utukuzihe mauri de inamuna ulio hanyu,"Priez pour nous afin que la parole du Seigneur se propage et soit honorée comme elle l'a été chez vous,"
Badi Rabi waye muaminifu atsomuhodarishani na umuhifadhwini na uovu.,"Le Seigneur, lui, est fidèle: il vous affermira et vous préservera du mal."
Ha uvhumoja watru na Rabi risuyakinisha amba musufanya tsena mutsofanya raha izo ramuambianizo.,Nous avons dans le Seigneur la confiance que vous faites et que vous continuerez à  faire ce que nous vous recommandons.
Risumusaribiani i mudzibause na kula mwananya wa shi uaminifu aliona maesha yendza musadjadja badi tsi ha udunga maosio ramuvhaniwo.,Nous vous recommandons de vous éloigner de tout frère qui mène une vie désordonnée et ne se conforme pas à  l'enseignement qu'il a reçu de nous.
Wanyu-wanyu musujua inamuna yalazimu mudzivhinge ha urenga mufano watru mana karaeshi vhumoja na wanyu shi watru wendza musadjadja,"Vous savez vous-mêmes comment il faut nous imiter, car nous n'avons pas vécu dans le désordre parmi vous."
Rifanya hazi uku na mutsana,On a travaillé nuit et jour
Kara dya bure-bure shahula ya mutru atsokao yotsi. Ha kinyume ridzirumu ha utaambifu,"Nous n'avons mangé la nourriture de qui que ce soit , au contraire on a travaillé avec difficulté"
9 Tsi amba karakana ifurswa,"Ce n'est pas que nous n'en ayons pas le droit, mais nous voulons vous donner en nous-mêmes un modle à  imiter."
Mana kweli amba wakati raka vhumoja na wanyu rakomuvhani saribu lini: «Neka mutru kasutsaha afanya hazibasi vhavho asudye».,"En effet, lorsque nous étions chez vous, nous vous recommandions ceci: «Si quelqu'un ne veut pas travailler, qu'il ne mange pas non plus!»"
Na vhanu risukia amba vhwa baandhwi ya wanyu wasueshi ha shimusadjadja kawasufanya trongo neka tsi ushahiliha na za wanyawo.,Nous apprenons en effet que quelques-uns parmi vous vivent dans le désordre: ils ne travaillent pas et se mêlent des affaires des autres.
Basi watru wao risuwaamurisha na uwatria bari amba wafanye hazi ha utrulivu na udya nguvu za mwili zawo.,Nous donnons à  ces gens-là  cet ordre et nous les encourageons à  travailler paisiblement pour manger leur propre pain.
Yahusu wanyu wananya wa shi uaminifu mwasulemewe ufanya ndjema.,"Quant à  vous, frères et soers, ne vous lassez pas de faire le bien."
Neka vhwa mutru kasutuin marongozi yatru hari mwa libarua lini namumutriye anlama tsena mwasushahilihe na waye hari mwa itsokao yotsi pare aone haya.,"Si quelqu'un n'obéit pas à ce que nous disons par cette lettre, notez-le et n'ayez aucune relation avec lui, afin qu'il éprouve de la honte."
Badi mwasumurenge amba anduyi be namumurudi mauri mwananya.,"Ne le considérez cependant pas comme un ennemi, mais avertissez-le comme un frère."
Basi Rabi Monyewe utrulivu namuvheni waye-waye utrulivu kula wakati ha kula namuna. Rabi nake vhumoja na wanyu piyanyu.,Que le Seigneur de la paix vous donne lui-même la paix en tout temps et de toute manière! Que le Seigneur soit avec vous tous!
Waambiye tsena wasudzishapise na mahadisi yatrungwa na zingurudhwa kazina mwiso za wadzade trongo zivhingao hari mwa mashindrano,"Dis leur également de ne pas s'attacher à  des fables et des généalogies sans fin, qui suscitent des controverses."
I kusudi ya lisaribu lini de uvhendza ulawao ha umo warahara na nafusi ndziraharifu bila tuhuma vhumoja na uaminifu wa kweli.,"Le but de cet enseignement est l'amour qui provient d'un coeur pur, d'une bonne conscience et d'une foi sincère."
Vhwa bandhwi wavha mengo trongo zini wazinga hari mwa mahadisi maruvhu.,Certains se sont détournés de ces choses et se sont égarés dans des discours futiles.
Wasutsaha wake mataanlamu wa iSharia bila kawasuelewa izo warongoao wala izo washadidishao.,"Ils veulent être des professeurs de la loi, sans comprendre ni ce qu'ils disent ni ce qu'ils affirment."
Kweli risujua amba iSharia ndjema neka mutru asuirumia namuna yalazimu.,Nous savons que la loi est bonnesi on l'utilise comme il faut.
Warendrezi-mbovu na wakaidi,"Les malfaiteurs et les insoumis,"
Makafiri na maanswifu,"les impies et les pécheurs,"
Watru kawastehi dini wala yotsi ya shiungu maula mababa na mamama maangamifu,"pour ceux qui ne respectent pas ce qui est sacrÃ© ni ce qui est profane, pour les parricides et les matricides, les assassins,"
Wendza shahawa mbovu,Les immoraux
Watrubaba waendreleanao,Les homosexuels
Wao wafanyao bahazazi za wanadamu,Les trafiquants d'êtres humains
Wanafiki walavhizi wa trambo wajau na kula yendrao kinyume na musomo mwema,"les menteurs, les parjures et tout ce qui est contraire à  la saine doctrine,"
Wami nilio amba hale oho nakokufuru nakotresa na uruhana.,"Moi qui étais auparavant un blasphémateur, un persécuteur et un homme violent."
Badi tsidjaanliwa urehema mana nakorendra bila ujuzi,Mais il m'a été fait miséricorde car j'agissais par ignorance
Kabula ya kula trongo nisutsaha vhuvhelehwe ha Mungu hadja mamilio mirayilio vhumoja na himida ya wanadamu piya.,"J'encourage donc, avant tout, à faire des requêtes, des prières, des supplications, des actions de grâe pour tous les hommes,"
Nazifanyiwe ha yamafalume na ha piya wendza bandza la yezi ile rieshi ha utrulivu na unafasi ha trisidzo la Mungu vhumoja na kula staha.,"Pour les rois et pour tous ceux qui sont au pouvoir, afin que nous puissions mener une vie paisible et tranquille, en toute piété et dignité."
Iyo ndzuzuri tsena ujividza.,Voilà  ce qui est bon et agréable .
Nisutsaha basi amba hari mwa kula vhahanu watruwaume wafanye mamilio ha uhedza mihono bila hadhabu wala mashindrano.,"Je veux donc que les hommes prient en tout lieu, en levant des mains saintes, sans colère ni hésitation."
De i namuna iyo wajau amba watruwashe wapindre namuna yastahiki ha mastaha na usitirifu.,"Je veux aussi que les femmes, habillées décemment, se parent avec pudeur et simplicité"
Badi nawadzistawidze ha zitrendro ndjema .,Mais plutôt par de bonnes œuvres.
Mutrumushe nasome ha ustamiyivu na utuinvu mukamilifu.,"Que la femme s'instruise dans le calme, en toute soumission."
Wami tsisuruhusu mutrumushe usomedza bila utawalia mutrumume; nadzilishe mutrulivu.,Je ne permets pas à  la femme d'enseigner ni de prendre de l'autorité sur l'homme
Mana Adamu de aumbwa kadimu ivho Hawa.,"En effet, Adam a été formé le premier, et Eve ensuite."
Basi ilazimu dhwamana uwo ake bila tuhuma ashindrodziziao muekevu mwendza hishima na mukaribisa tsena ashindre asomedze.,"Il faut donc que le surveillant soit irréprochable,  sobre, réfléchi, digne, hospitalier, capable d'enseigner."
Kalazimu aka mulevi wala mumani badi makini asuke muguguru wala muvhendza-marike.,"Il ne doit pas être buveur, ni violent, mais au contraire doux, pacifique et désintéressé."
Alazimu aendrese ha uzuri muraba wahe tsena ike amba wana wahe wa watuinvu wendza mastaha yakamilishiha.,Il faut qu'il dirige bien sa propre maison et qu'il tienne ses enfants dans la soumission et avec une parfaite dignité.
Alazimu tsena akane sifa ndzuzuri ha watru wa vhondze ile asuje apuliha hari mwa tuhuma na hari mwa marambwe ya Ibilisa.,"Il faut aussi qu'il reçoive un bon témoignage de la part des gens de l'extérieur, afin de ne pas tomber dans le discrédit et dans le piège du diable."
U wasaidizi wa Djama Ndziwaminifu wajau walazimu wake watru wakasidi wendza kauli moja tsi walevi wala wadziparia ha namuna kayalazimu.,"De même, les diacres (serviteurs) doivent êre respectables, n'avoir qu'une parole, ne pas s'adonner à  la boisson ni être animés par un gain honteux."
Na watruwashe wajau walazimu wake watru wakasidi ike amba wao kawatefwa washindre wadziziye wake waaminifu hari mwa kula trongo.,"Leurs femmes de même doivent être respectables, non médisantes, sobres, fidèles en tout."
Wasaidizi walazimu wake amba kula mutrumume na mutrumushe wahe tsena walele ha uzuri wana wawo na uendresa ha uzuri muraba wawo.,Un diacre doit être le mari d'une seule femme et bien diriger ses enfants et sa propre maison.
Mana wao walio amba warumishia ha uzuri wao udziparia bandza dzuzuri na yakini yaswafishiha hari mwa uaminifu .,"En effet, ceux qui ont bien exercé la fonction de diacre acquièrent un rang honorable et une grande assurance ."
Nisuhuangishia zizo vhumoja na itama amba tsi hale nitsoja nihuone.,Je t'écris cela avec l'espérance de te rejoindre bientôt.
Badi neka nisuhoma itsoka amba ha zini usujua inamuna ya udzivhinga,"Cependant, si j'ai du retard, tu sauras comment il faut te conduire ."
Hari mwa lidunia la mwiso baandhwi watsobauha uaminifu wadzifungamanise na roho ndzidangamanyifu na misomo ya shiushetwani,"Dans les derniers temps, certains abandonneront la foi pour s'attacher à  des esprits séducteurs et à  des doctrines de démons,"
Yilio amba yiyo uja ha unafiki wa watru wendza marongozi ya trambo walio amba likoho la unamuzi lawo hari mwa ndjema na mbovu uka mauri livudzwa ha shuma ya moro.,Entrainés par l'hypocrisie de menteurs dont la conscience est marquée au fer rouge.
Wasubalidza watru ungia hari mwa ndrola na uwaamurisha wasudye bandhwi ya zahula zilio amba Mungu aziumbu zidyiwe ha uhimidifu na wao waaminio tsena wajuao ukweli.,Ces gens-là  interdisent de se marier et exigent qu'on s'abstienne d'aliments que Dieu a crées pour être acceptés avec reconnaissance par ceux qui sont fidèles et qui ont la connaissance de la vérité.
Kweli amba kula yaumbwa na Mungu iyo ndjema tsena kavhusi ya uhara neka isurengwa ha uhimidifu,"En effet, tout ce que Dieu a crée est bon et rien ne doit être rejeté, pourvu qu'on le prenne avec reconnaissance,"
Wamoeleha zizo ha uwananya wa shi uaminifu vhavho utsoka murumishi mwema.,"En exposant cela aux frères et soeurs, tu seras un bon serviteur ."
Badi bauha mahadisi ya shidunia yao ya shikitabi-koko ne udzishahilise na trongo za shi imbada.,Éloigne-toi des contes profanes de vieilles femmes. Exerce-toi à  la piété.
Madjerebio ya shimwili ukana faida badi hari mwa trongo shashi wakati ulio amba imbada iyo ukana faida hari mwa piya zitrongo mana ina wahadi wa uhayati wa leo ata uwo ujao.,"L'exercice physique est utile à  peu de chose, tandis que la piété est utile à  tout, car elle est porteuse de la promesse de la vie présente et de celle qui est à  venir."
9 Uwo urongozi wastahiki uaminifu walazimu mukuÉ“alisho mukamilifu.,Cette parole est certaine et digne d'être entièrement acceptée.
I kusudi ata ridzirumao na udzisonga de uka amba rihetsi tama yatru ha Mungu alio hayi Muhuyifu wa piya uwanadamu hususwani wao waaminio.,"C'est dans cette perspective que nous travaillons et que nous luttons, parce que nous mettons notre espérance dans le Dieu vivant, qui est le Sauveur de tous les hommes, et en particulier des croyants."
Rongwa tsena somedza trongo zini,Dis et enseigne ces choses.
Vhwasuke mutru adharau ushababi waho badi ka ha uwatru waaminio mufano hari mwa marongozi maendreleo uvhendza uaminifu na uraharifu.,"Que personne ne méprise ta jeunesse, mais sois un modèle pour les croyants par tes paroles, ta conduite, ton amour, ta foi et ta pureté."
Ha ulindrilia niwaswili dzihetsi usome ha hadhwira yiMiangishio Mitwaharifu utriye bari tsena usomedze.,"En attendant que je vienne, applique-toi à lire les écritures en public, à encourager, à  enseigner."
Usurumiye ha ushida ineema ya urehema ilio moni haho wadjaanliwayo,Ne néglige pas le don que tu as reçu.
Dzihetsi ha ukamilifu hari mwa trongo zizo udzifungamanise nazo ha kusudi ile muendreleo-mbeli waho uvhenuhe ha piya.,"Occupe-toi de ces choses, donne-toi entièrement à  elles, afin que tes progrès soient évidents pour tous."
Dzifahamishe iwawe yaho na musomo waho tsena uendreleye ha djitihadi na trongo zizo. Mana wamorendra namuna iyo utsohuyi iwawe yaho na wao wahuvulishiao.,"Veille sur toi-même et sur ton enseignement. Persévère dans ces choses, car en agissant ainsi, tu sauveras et toi-même et ceux qui t'écoutent."
Usulaguliye mangavu baba muduhazi badi musaribiye mauri baba yamashababi waume mauri wananya watrubaba,"Ne réprimande pas rudement l'homme agé, mais encourage-le comme un père. Les jeunes hommes, considère-les comme des frères,"
Watruwashe waduhazi mauri wamama na watruwashe mashababi mauri wananya watruwashe ha uraharifu mukamilifu.,"Les femmes agées comme des mères, et les jeunes femmes comme des soeurs, en toute pureté."
Hishimu watruwashe wafiliwa walio amba ha kweli wa weke.,Honore les veuves qui sont vraiment seules.
Neka amba mutrumushe afiliwa ana wana au wajuhu nawafundrihe rabuzi ufanya imbada zawo ha wadjamazawo,"Si une veuve a des enfants ou des petits-enfants, que ceux-ci apprennent d'abord à  manifester leur piété envers leur propre famille ."
Mutrumushe afiliwa wa kweli alio amba abaki weke ahetsi tama yahe ha Mungu amwesa waye uendrelea ha hadja na mamilio uku na mutsana.,La veuve qui est vraiment seule et isolée met son espérance en Dieu et persévère nuit et jour dans les requêtes et les prières.
Badi ule aeshio hari mwa masterehi afu wala ukana a hayi.,"Quant à  celle qui vit dans les plaisirs, elle est morte, bien que vivante."
Wavhe maosio yao ile wasutuhumilwe.,Donne-leur aussi ces instructions afin qu'elles soient irréprochables.
Neka mutru kasuangalia wadjamazahe na hususwani wale murabani hahe,"Si quelqu'un ne prend pas soin des siens, et en particulier des membres de sa famille proche."
Narongoleshehe ha zitrendro ndjema zahe amba alele wana wahe ha uzuri,"Et qu'elle est connue pour de bonnes oeuvres, comme avoir bien éduquée ses enfants"
Mukubalisho wa handra wawo.,Leur engagement initial
Na zaidi ya vhavho Ivho kawana za ufanya wao urenga udzevu wa ungia na ulawa hari mwa miraba.,"De plus, étant désoeuvrées, elles prennent l'habitude d'aller de maison en maison."
Ha izo natsovhendza watruwashe wa maha mishashi wafiliwa walolwe wadze wasike ha uzuri miraba yawo,"Je veux donc que les jeunes veuves se marient, aient des enfants, dirigent leur maison, ."
Mana madza vhwa baandhwi waavhuha ha umudunga Shetwani.,"En effet, certaines se sont déjà  détournées pour suivre Satan."
Neka vhwa mutrumushe aaminio alio amba hari mwa udjama wahe ana watruwashe wafiliwa nawasaidiye,"Si un croyant ou une croyante a dans sa famille des veuves, qu'il les assiste ."
Basi uwabole waendresao ha uzuri iDjama Ndziwaminifu nawaonehane amba wazidi ustahiki sheo,Que les anciens qui dirigent bien soient jugés dignes d'un double honneur.
«Kutsobala ihanyo ya nyombe ikitsao mele» na tsena amba: Mutru wa hazi ustahiki mushahara wahe»,«Tu ne mettras pas de muselière au boeuf quand il foule le grain» et: «L'ouvrier mérite son salaire.»
Usukubali musingidzio kinyume na mubole wa iDjama Ndziwaminifu neka kwaupara na ushahidifu wa watru waili au wararu.,"N'accepte pas d'accusation contre un ancien, si ce n'est sur la déposition de deux ou trois témoins."
Usudzihafilishe udhwaminisha mutru atsokao yotsi ha mukadzio-mihono wala usurenge fuvu hari mwa dhambi la wangina. Wawe ha wawe dzisike muraharifu.,Ne pose les mains sur personne avec précipitation et ne participe pas aux péchés d'autrui. Garde-toi pur.
Madhambi ya baandhwi ya watru uvhenuha,Les péchés de certains hommes sont évidents .
De ha i namuna iyo wajau zitrendro ndjema uvhenuha,"De même, les bonnes oeuvres sont évidentes."
Vhavho ajaya ufahari kasina yotsi aijuao; ana uwade wa ushindrana na umani hari mwa zikauli.,"Il  est enflé d'orgueil, il ne sait rien et a une passion maladive pour les discussions et les débats de mots."
Vhavho de vhudzalishihao uwivu mashindrano naza misingidzio miovu,"De là  naissent l'envie, la discorde, les calomnies, les mauvais soupçons,"
Mashindrano kayakomo ya watru wendza ankili zamenyeha kawasujua ukweli watru wadanio amba Imbada utadjirisha.,"Les conflits incessants entre des hommes à l'intelligence pervertie, privés de la vérité et qui considèrent la piété comme une source de profit."
